image,truth,identity
000010.png,False,6258
000028.png,False,4638
000143.png,False,1308
000216.png,False,1308
000361.png,False,1308
000493.png,False,229
000499.png,False,1673
000550.png,False,229
000583.png,False,8802
000600.png,False,7831
000898.png,False,3670
000911.png,False,1673
001148.png,False,3669
001358.png,False,8455
001590.png,False,1673
001668.png,False,1051
002326.png,False,898
002525.png,False,3736
002551.png,False,898
002563.png,False,898
002760.png,False,3716
003038.png,False,5013
003086.png,False,5013
003158.png,False,7804
003403.png,False,7915
003448.png,False,1673
003491.png,False,5236
003513.png,False,4055
003748.png,False,3742
004045.png,False,4055
004124.png,False,871
004465.png,False,7450
004513.png,False,6258
004541.png,False,4664
004666.png,False,5736
005091.png,False,4055
005203.png,False,6069
005299.png,False,6997
005600.png,False,8650
005766.png,False,6074
005927.png,False,4568
005987.png,False,1673
006131.png,False,3670
006139.png,False,6074
006272.png,False,97
006910.png,False,3742
007338.png,False,1308
007398.png,False,1337
007523.png,False,6074
007604.png,False,8455
007612.png,False,8650
007765.png,False,5846
008389.png,False,736
008578.png,False,4754
008585.png,False,5013
008624.png,False,229
008951.png,False,4055
008971.png,False,2159
009060.png,False,8455
009084.png,False,4055
009176.png,False,2339
009289.png,False,5787
009426.png,False,5787
009681.png,False,8455
010021.png,False,1295
010061.png,False,6074
010274.png,False,4055
010406.png,False,871
010435.png,False,3670
010516.png,False,1295
010542.png,False,9886
010715.png,False,5841
010870.png,False,1051
010884.png,False,871
010888.png,False,3736
011017.png,False,910
011178.png,False,5013
011256.png,False,1337
011312.png,False,1295
011343.png,False,736
011408.png,False,1051
011701.png,False,5787
011999.png,False,1567
012183.png,False,6074
012364.png,False,1308
012383.png,False,97
012408.png,False,6258
012589.png,False,97
012662.png,False,898
012724.png,False,10053
012794.png,False,871
012876.png,False,9433
012883.png,False,4367
012923.png,False,229
013109.png,False,6258
013138.png,False,298
013297.png,False,3984
013539.png,False,229
013855.png,False,3669
013954.png,False,298
013970.png,False,1673
013976.png,False,3984
013983.png,False,4055
014179.png,False,9433
014221.png,False,8051
014316.png,False,9886
014430.png,False,871
014583.png,False,1308
014631.png,False,1295
014818.png,False,1337
014959.png,False,736
015123.png,False,4055
015126.png,False,1004
015133.png,False,229
015346.png,False,4638
015362.png,False,7804
015457.png,False,1295
015877.png,False,1004
016045.png,False,5013
016617.png,False,2339
016709.png,False,7915
016795.png,False,6906
017052.png,False,97
017100.png,False,6107
017369.png,False,6997
017807.png,False,6997
017861.png,False,1004
018122.png,False,97
018220.png,False,5013
018242.png,False,8802
018538.png,False,15
018787.png,False,5013
019192.png,False,1308
019237.png,False,229
019469.png,False,97
019885.png,False,4055
020339.png,False,2729
020342.png,False,1673
020364.png,False,6891
020684.png,False,5787
020747.png,False,3716
020943.png,False,9535
021154.png,False,229
021448.png,False,1673
021672.png,False,4055
021761.png,False,8802
021869.png,False,3984
021948.png,False,2729
021978.png,False,4664
022152.png,False,3669
175883.png,True,97
175979.png,True,1308
176178.png,True,1673
176280.png,True,1673
176420.png,True,4055
176585.png,True,229
176771.png,True,229
176801.png,True,1673
176821.png,True,4055
